error_type,news_id_1,news_id_2,ref_cluster_1,ref_cluster_2,cand_cluster_1,cand_cluster_2,title_1,title_2
false_merge,89464,89442,prelim_0612,prelim_0638,baseline_россия_0030,baseline_россия_0030,"В Якутии за шесть часов проголосовали  14,65 процента избирателей",Президентские выборы состоялись во всех округах
false_merge,89423,89437,prelim_0612,prelim_0635,baseline_россия_0030,baseline_россия_0030,На Камчатке за два часа выборов проголосовали 7 процентов избирателей,"Вешняков сообщил результаты подсчета 14,7 процента бюллетеней"
false_merge,89437,89450,prelim_0635,prelim_0638,baseline_россия_0030,baseline_россия_0030,"Вешняков сообщил результаты подсчета 14,7 процента бюллетеней",В Москве выборы президента признаны состоявшимися
false_merge,89484,89467,prelim_0635,prelim_0638,baseline_россия_0030,baseline_россия_0030,ЦИК обнародовал предварительные итоги выборов. Путин переизбран президентом России,К 12.00 в России проголосовали почти 15 процентов избирателей
false_merge,89419,89445,prelim_0612,prelim_0638,baseline_россия_0030,baseline_россия_0030,На Чукотке и в Корякском АО президентские выборы состоялись,На Дальнем Востоке выборы завершились. Явка на Сахалине едва превысила 50 процентов
false_merge,89426,89437,prelim_0612,prelim_0635,baseline_россия_0030,baseline_россия_0030,На Чукотке проголосовали 22 процента. Или пять,"Вешняков сообщил результаты подсчета 14,7 процента бюллетеней"
false_merge,89421,89506,prelim_0612,prelim_0635,baseline_россия_0030,baseline_россия_0030,"Явка на Сахалине и в Приморье в 2 раза выше, чем на предыдущих выборах",Российские избиратели в Вашингтоне проголосовали за Путина и Хакамаду
false_merge,89419,89443,prelim_0612,prelim_0638,baseline_россия_0030,baseline_россия_0030,На Чукотке и в Корякском АО президентские выборы состоялись,Выборы президента России состоялись
false_merge,89421,89467,prelim_0612,prelim_0638,baseline_россия_0030,baseline_россия_0030,"Явка на Сахалине и в Приморье в 2 раза выше, чем на предыдущих выборах",К 12.00 в России проголосовали почти 15 процентов избирателей
false_merge,89506,89450,prelim_0635,prelim_0638,baseline_россия_0030,baseline_россия_0030,Российские избиратели в Вашингтоне проголосовали за Путина и Хакамаду,В Москве выборы президента признаны состоявшимися
false_merge,89421,89443,prelim_0612,prelim_0638,baseline_россия_0030,baseline_россия_0030,"Явка на Сахалине и в Приморье в 2 раза выше, чем на предыдущих выборах",Выборы президента России состоялись
false_merge,89423,89484,prelim_0612,prelim_0635,baseline_россия_0030,baseline_россия_0030,На Камчатке за два часа выборов проголосовали 7 процентов избирателей,ЦИК обнародовал предварительные итоги выборов. Путин переизбран президентом России
false_merge,89425,89506,prelim_0612,prelim_0635,baseline_россия_0030,baseline_россия_0030,Выборы начались в Западной Сибири и на Урале,Российские избиратели в Вашингтоне проголосовали за Путина и Хакамаду
false_merge,89437,89445,prelim_0635,prelim_0638,baseline_россия_0030,baseline_россия_0030,"Вешняков сообщил результаты подсчета 14,7 процента бюллетеней",На Дальнем Востоке выборы завершились. Явка на Сахалине едва превысила 50 процентов
false_merge,89464,89467,prelim_0612,prelim_0638,baseline_россия_0030,baseline_россия_0030,"В Якутии за шесть часов проголосовали  14,65 процента избирателей",К 12.00 в России проголосовали почти 15 процентов избирателей
false_merge,89423,89442,prelim_0612,prelim_0638,baseline_россия_0030,baseline_россия_0030,На Камчатке за два часа выборов проголосовали 7 процентов избирателей,Президентские выборы состоялись во всех округах
false_merge,89439,89467,prelim_0612,prelim_0638,baseline_россия_0030,baseline_россия_0030,На Чукотке за четыре часа проголосовали 51 процент избирателей,К 12.00 в России проголосовали почти 15 процентов избирателей
false_merge,89426,89442,prelim_0612,prelim_0638,baseline_россия_0030,baseline_россия_0030,На Чукотке проголосовали 22 процента. Или пять,Президентские выборы состоялись во всех округах
