error_type,news_id_1,news_id_2,ref_cluster_1,ref_cluster_2,cand_cluster_1,cand_cluster_2,title_1,title_2
false_split,89413,89493,prelim_0624,prelim_0624,baseline_россия_0031,baseline_россия_0032,МВД Аджарии: На нас идет грузинская колонна,Аслан Абашидзе заявил о готовности к переговорам с президентом Грузии
false_split,90182,90802,prelim_1143,prelim_1143,baseline_мир_0044,baseline_мир_0045,Ричард Кларк: в терактах 11 сентября виноват Буш,Буш отредактирует доклад комиссии по расследованию терактов в США
false_split,88643,88827,prelim_0013,prelim_0013,baseline_мир_0003,baseline_мир_0014,"Жан-Бертран Аристид: ""США вынудили меня бежать из страны""",На родине культа вуду введено чрезвычайное положение
false_split,90363,91009,prelim_0924,prelim_0924,baseline_экономика_0036,baseline_экономика_0051,"""ЮКОСу"" не дали сменить руководство ""Сибнефти""","""ЮКОС"" заблокировал поправки в устав ""Сибнефти"""
false_split,88957,89194,prelim_0312,prelim_0312,baseline_россия_0016,baseline_россия_0020,Ми-26 отправился спасать российских полярников,"""Росгидромет"" ищет льдину для новой полярной станции"
false_split,90886,90989,prelim_1139,prelim_1139,baseline_мир_0049,baseline_мир_0050,В Сейме Литвы начались прения по вопросу об отставке президента,После импичмента экс-президент Литвы попал в реанимацию
false_split,89181,89300,prelim_0051,prelim_0051,baseline_экономика_0019,baseline_экономика_0024,В США цены на нефть идут на новый рекорд,ОПЕК временно отменила нефтяные квоты
false_split,90544,90989,prelim_1139,prelim_1139,baseline_мир_0047,baseline_мир_0050,Конституционный суд Литвы признал президента Паксаса виновным,После импичмента экс-президент Литвы попал в реанимацию
false_split,89006,89194,prelim_0312,prelim_0312,baseline_россия_0016,baseline_россия_0020,Спасенные полярники вылетели в Санкт-Петербург самолетом МЧС,"""Росгидромет"" ищет льдину для новой полярной станции"
false_split,89942,89950,prelim_0977,prelim_0977,baseline_мир_0037,baseline_мир_0039,Ликвидация Ясина готовилась несколько дней,"""Бригады мученников Аль-Аксы"" обещают отомстить за Ясина в ближайшие часы"
false_split,89331,89417,prelim_0572,prelim_0572,baseline_россия_0027,baseline_россия_0028,"""Аль-Каеда"" обещает Америке ""Ветры черной смерти""","""Аль-Каеда"" вновь взяла на себя ответственность за теракты в Мадриде"
false_split,88616,88687,prelim_0060,prelim_0060,baseline_экономика_0005,baseline_экономика_0008,"Суд признал недействительной дополнительную эмиссию акций ""ЮКОСа""","Кредитный рейтинг ""ЮКОСа"" сделают еще негативнее"
false_split,89417,89505,prelim_0572,prelim_0572,baseline_россия_0028,baseline_россия_0034,"""Аль-Каеда"" вновь взяла на себя ответственность за теракты в Мадриде","Подозреваемые во взрывах поездов в Мадриде связаны с ""Аль-Каедой"""
false_split,90390,90397,prelim_1143,prelim_1143,baseline_мир_0045,baseline_мир_0046,Кондолизза Райс вновь отказалась дать публичные показания по обстоятельствам терактов 11/09,Компромат на Буша стал бестселлером в США
false_split,88843,88895,prelim_0169,prelim_0169,baseline_экономика_0015,baseline_экономика_0011,Курс доллара на ММВБ вырос еще на 7 копеек,"Курс евро снизился на 6,08 копейки"
false_split,90397,90465,prelim_1143,prelim_1143,baseline_мир_0046,baseline_мир_0045,Компромат на Буша стал бестселлером в США,Белый дом опубликует ответы Кондолиззы Райс комиссии по терактам 11 сентября
false_split,90182,90397,prelim_1143,prelim_1143,baseline_мир_0044,baseline_мир_0046,Ричард Кларк: в терактах 11 сентября виноват Буш,Компромат на Буша стал бестселлером в США
false_split,88546,89181,prelim_0051,prelim_0051,baseline_экономика_0000,baseline_экономика_0019,Саудовская Аравия пообещала не допустить нехватки нефти,В США цены на нефть идут на новый рекорд
false_split,90175,90886,prelim_1139,prelim_1139,baseline_мир_0043,baseline_мир_0049,Российский спонсор президента Литвы помещен под домашний арест,В Сейме Литвы начались прения по вопросу об отставке президента
